요약,이슈 키,이슈 ID,이슈 유형,상태,프로젝트 키,프로젝트 이름,프로젝트 유형,프로젝트 리더,프로젝트 리더 ID,프로젝트 설명,우선 순위,해결,담당자,담당자 ID,보고자,보고자 ID,작성자,작성자 ID,만듦,업데이트,최근에 봄,해결됨,기한,투표,레이블,설명,환경,지켜보는 사람,관찰자 ID,최초 추정치,남은 추정치,사용한 시간,작업율,초기 추정의 합,Σ 남은 추정치,할애한 시간의 합,보안 등급,사용자정의 필드 (Team),사용자정의 필드 (development),사용자정의 필드 (순위),사용자정의 필드 (시작 날짜),사용자정의 필드 (이슈 색상),사용자정의 필드 (취약성),상위 항목,상위 키,Parent summary,상태 범주,상태 범주 변경됨
지연 위험도 모델 학습/평가 지원,WF-243,10727,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:46 오후,15/7월/26 2:46 오후,,27/7월/26 12:00 오전,0,P0;ai;ml;owner-이은주,피처 엔지니어링과 모델 평가를 지원한다. 부담당 허영주.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000iv:,,,,10681,WF-197,FS-5 ML/AI 모델링,해야 할 일,14/7월/26 9:11 오후
임베딩 파이프라인 지원 구현,WF-244,10728,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:44 오후,15/7월/26 2:43 오후,,20/7월/26 12:00 오전,0,P0;ai;rag;owner-이은주,RAG용 embedding 생성 파이프라인을 지원한다. 부담당 고무서.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000j3:,,,,10681,WF-197,FS-5 ML/AI 모델링,해야 할 일,14/7월/26 9:11 오후
학습/평가 노트북 및 산출물 정리,WF-245,10729,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 2:44 오후,15/7월/26 2:45 오후,,27/7월/26 12:00 오전,0,P0;ml;notebook;owner-이은주,ipynb로 학습/평가를 기록하고 output 폴더에 그래프/모델을 저장한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000jb:,,,,10681,WF-197,FS-5 ML/AI 모델링,해야 할 일,14/7월/26 9:11 오후
상태 기반 칸반 업무 보드를 제공한다,WF-246,10730,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;board;kanban;owner-유소은,"할 일, 진행 중, 보류, 완료 컬럼으로 업무를 조회하고 이동한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000jj:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:11 오후
칸반 보드 UI와 드래그 상태 이동 구현,WF-247,10731,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;frontend;board;owner-유소은,"상태 컬럼, 업무 카드, 드래그 상태 변경 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000jr:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:11 오후
Task CRUD API 구현,WF-248,10732,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;backend;task;owner-유소은,업무 조회/생성/수정/삭제 API를 구현한다. 부담당 박지수.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000jz:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:11 오후
카테고리별 업무 생성과 상세 패널을 제공한다,WF-249,10733,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;task-category;detail;owner-유소은,업무 생성 시 카테고리를 먼저 선택하고 공통/전용 필드를 입력한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000k7:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:11 오후
업무 생성 모달 구현,WF-250,10734,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;frontend;task;owner-유소은,기획/프론트엔드/백엔드/AI 등 카테고리 선택 후 업무 정보를 입력한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000kf:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:11 오후
업무 상세 우측 패널 구현,WF-251,10735,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:11 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;frontend;task;owner-유소은,"상태, 담당자, 마감일, 우선순위, 체크리스트를 편집한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000kn:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:12 오후
체크리스트 API 구현,WF-252,10736,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;backend;checklist;owner-유소은,체크리스트 생성/수정/삭제 API를 구현한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000kv:,,,,10682,WF-198,FS-6 업무 보드,해야 할 일,14/7월/26 9:12 오후
심사자 전용 기여도 리포트를 제공한다,WF-253,10737,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;reviewer;contribution;owner-고무서,"업무, 회의, 문서 기반 개인별 활동 요약과 근거를 심사자에게만 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000l3:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
심사자 목록/기여도 화면 구현,WF-254,10738,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;frontend;reviewer;owner-고무서,"담당 프로젝트 목록, 개인별 리포트, 근거 출처 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000lb:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
기여도 조회 API 구현,WF-255,10739,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;backend;contribution;owner-고무서,기여도 리포트 조회 API를 심사자 전용으로 구현한다. 부담당 허영주.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000lj:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
/ai/contribution/summarize 엔드포인트 구현,WF-256,10740,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;ai;llm;owner-고무서,업무/회의/문서 활동을 근거 포함 요약으로 변환한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000lr:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
통합 QA와 권한 시나리오를 검증한다,WF-257,10741,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;qa;demo;owner-고무서,회의록 업로드부터 평가 근거 확인까지 데모 흐름과 권한 차단을 검증한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000lz:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
권한/RBAC 테스트 케이스 작성 및 실행,WF-258,10742,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;qa;rbac;owner-고무서,팀장/팀원/심사자별 허용/차단 시나리오를 검증한다. 부담당 박상준.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000m7:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
최종 데모 E2E 시나리오 검증,WF-259,10743,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;qa;e2e;owner-고무서,"회의록 업로드, To-Do 생성, 보드 반영, 대시보드, Assistant, 심사자 평가 흐름을 검증한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000mf:,,,,10683,WF-199,FS-4 심사자/기여도/QA (통합),해야 할 일,14/7월/26 9:12 오후
공통 API 규칙과 응답 envelope를 적용한다,WF-260,10744,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;api;contract;owner-박상준,"모든 API는 /api/v1 기준, {success,data,error} 규칙과 공통 오류 코드를 따른다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000mn:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
공통 응답 envelope와 오류 코드 구현,WF-261,10745,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;backend;api;owner-박상준,"성공/실패 응답 형식, 상태 코드, 예외 핸들러를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000mv:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
프론트 API 클라이언트 공통 처리 구현,WF-262,10746,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;frontend;api;owner-박상준,"JWT 헤더, refresh, envelope unwrap, 오류 처리를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000n3:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
비동기 처리와 상태 폴링 기반을 구축한다,WF-263,10747,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;async;queue;owner-박지수,"회의록 분석, RAG 인덱싱 작업을 비동기로 처리한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000nb:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
Redis Queue 작업 처리 구조 구현,WF-264,10748,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;backend;queue;owner-박지수,AI 분석 작업을 queue로 넘기고 jobId/status를 반환한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000nj:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
공통 작업 상태 폴링 컴포넌트 구현,WF-265,10749,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:12 오후,14/7월/26 9:12 오후,,,28/12월/25 12:00 오전,0,P0;frontend;async;owner-박지수,분석 중/완료/실패 상태를 재사용 가능한 UI로 처리한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000nr:,,,,10684,WF-200,공통 통합/인프라,해야 할 일,14/7월/26 9:12 오후
실제 비동기 분석 처리 구현,WF-266,10750,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,15/7월/26 2:03 오후,15/7월/26 2:03 오후,,,18/7월/26 12:00 오전,0,,,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,,,,,,,,,,{},0|i000nz:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,해야 할 일,15/7월/26 2:03 오후
실제 LLM/STT/문서 파서 연동,WF-267,10751,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,15/7월/26 2:04 오후,15/7월/26 2:04 오후,,,22/7월/26 12:00 오전,0,,,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,,,,,,,,,,{},0|i000o7:,29/7월/26 12:00 오전,,,10678,WF-194,FS-2 회의록 AI/To-Do,해야 할 일,15/7월/26 2:04 오후
업무보드 DB 완전 연동,WF-268,10752,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,15/7월/26 2:04 오후,15/7월/26 2:04 오후,,,22/7월/26 12:00 오전,0,,,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,,,,,,,,,,{},0|i000of:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,해야 할 일,15/7월/26 2:04 오후
API 경로 명세 정리,WF-269,10753,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,15/7월/26 2:05 오후,15/7월/26 2:05 오후,,,18/7월/26 12:00 오전,0,,,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,,,,,,,,,,{},0|i000on:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,해야 할 일,15/7월/26 2:05 오후
실패 상태 저장 / 재시도 처리,WF-270,10754,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Medium,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,15/7월/26 2:05 오후,15/7월/26 2:05 오후,,,18/7월/26 12:00 오전,0,,,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,,,,,,,,,,{},0|i000ov:,,,,10678,WF-194,FS-2 회의록 AI/To-Do,해야 할 일,15/7월/26 2:05 오후
